AccountId,CustomerID,AccountType,Balance,last_kyc_updated,branch_id
BUS-1990298,3GFT1ZDW4G,Business,30342570.25,2022-10-30,BR-00015
SAV-5186099,VRWR0O400I,Savings,41896208.43,2022-06-04,BR-00133
CUR-9367339,D55UJI8WV0,Current,32272303.31,2021-06-18,BR-00001
SAV-4887415,53CR23T46S,Savings,72880621.93,2020-03-09,BR-00004
SAV-1692074,HZDGV2JYU1,Savings,29188271.76,2021-05-28,BR-00099
BUS-7665995,MSUHT18DWD,Business,24902534.91,2019-10-15,BR-00011
CUR-8976663,VE674KTE1E,Current,59816713.45,2020-07-15,BR-00187
BUS-2814494,BVZA30CZ4F,Business,92399809.3,2021-01-15,BR-00194
CUR-7652188,8QI53UAIB3,Current,867487.31,2020-11-28,BR-00194
BUS-8906991,RKRBYY4RQG,Business,46569638.61,2022-05-11,BR-00114
BUS-7894402,IEQTETRWMF,Business,39918507.62,2020-01-07,BR-00104
BUS-6123351,EEZOSGWNKW,Business,43172890.92,2019-01-02,BR-00018
CUR-2896324,6LO9E9YYFV,Current,33058370.57,2020-06-12,BR-00051
CUR-5457892,Y4GAJ7OJ24,Current,62290433.5,2021-12-21,BR-00185
CUR-6107197,8HA6QZT85S,Current,19947890.66,2020-06-15,BR-00106
SAV-6782110,8C11OOEXY0,Savings,27423315.92,2019-04-08,BR-00025
CUR-3738506,YUQBEA83MM,Current,2999114.84,2021-02-17,BR-00153
SAV-6071086,TVTEEYRAGF,Savings,54978895.18,2021-08-06,BR-00179
BUS-9736317,A9V7MDXUO5,Business,96248400.32,2022-05-17,BR-00134
SAV-6704407,8EHQNW7F5Z,Savings,87274282.72,2022-11-21,BR-00088
CUR-4538277,MVCH174G5W,Current,56031663.86,2019-08-23,BR-00140
BUS-8147907,3RSK9SJJYM,Business,10227627.88,2020-02-24,BR-00178
BUS-6036212,5ARPBIWEGL,Business,23592196.66,2020-07-10,BR-00135
CUR-4030874,673JGUZMWF,Current,20714047.81,2019-06-01,BR-00017
CUR-2615036,594781KK94,Current,78941036.15,2019-01-20,BR-00048
SAV-9944714,VELR8SDMBG,Savings,95949193.97,2021-08-07,BR-00027
CUR-8091740,PGNN9DPAR2,Current,65080347.19,2022-07-23,BR-00152
CUR-3506433,DC8MVEWL1C,Current,86354894.21,2021-03-17,BR-00007
CUR-7701162,F1GGN5KWLS,Current,23993299.87,2020-11-19,BR-00169
CUR-4015509,9Q3XCS9G2K,Current,83791364.04,2020-02-25,BR-00002
CUR-3118999,L4M93V5XKO,Current,13987039.4,2021-11-15,BR-00106
CUR-6698379,3VMR2A7I1G,Current,56088888.88,2021-10-07,BR-00077
CUR-5421058,T09KEB6NAK,Current,40174182.62,2022-09-04,BR-00132
CUR-4250950,N0PXU48EJO,Current,48641122.43,2020-02-14,BR-00046
CUR-7631438,LGHWG7N2WK,Current,66862908.07,2020-02-15,BR-00069
BUS-2618047,C0L7BS92GT,Business,74701036.92,2020-01-15,BR-00054
BUS-7707328,Q811OIHOIR,Business,54952184.1,2021-11-30,BR-00077
BUS-4107147,ANBDCR5XQM,Business,93284458.2,2019-07-20,BR-00153
