Customer_id,Full_Name,Customer_Email,dob,Customer_Phone
V0H084B3FA,Mahika Gill,mahika.gill@gmail.com,1993-06-23,785877743.0
7SI1YKSDMB,Elakshi Gour,elakshi.gour@outlook.com,1981-06-14,9638371516.0
H0L4L7VHXT,Tanya Srinivasan,tanyasrinivasan@yahoo.com,2003-03-22,559420656.0
6I324KGK08,Kashvi Saraf,kashvisaraf@yahoo.com,2001-06-27,4985572504.0
WKJ0VXQFIY,Piya Ram,piyaram@hotmail.com,1994-03-31,5549849574.0
HT4P3N5R38,Aniruddh Kothari,aniruddhkothari@hotmail.com,1994-04-20,8609260186.0
Y4EHCD6U3G,Riya Gala,riya.gala@hotmail.com,1989-08-10,6947567136.0
KTYHYNJG3Q,Tarini Sabharwal,tarini.sabharwal@yahoo.com,1973-12-03,7701533431.0
2N2119NGLF,Shanaya Sampath,shanaya_sampath@gmail.com,1988-10-29,4587205438.0
CT2JZ4HB0I,Hunar Ganesan,hunar_ganesan@gmail.com,1975-11-15,2639082834.0
HF5N5ZWXFL,Anaya Raval,anaya.raval@gmail.com,1978-02-08,1631824049.0
4WMWWD3L7C,Hunar Bhat,hunar_bhat@outlook.com,1999-01-17,4495192598.0
RIPWSYBXN8,Mehul Rege,mehul.rege@gmail.com,1981-02-25,9384883971.0
9GXGVJOUV1,Shanaya Bhavsar,shanayabhavsar@gmail.com,1997-07-19,8437052858.0
WOT5TC8J5V,Renee Mander,reneemander@yahoo.com,2004-06-13,958564312.0
U38Z486TPA,Faiyaz Anand,faiyaz.anand@hotmail.com,1985-02-21,2501299169.0
PYTD6L08D9,Lakshit Solanki,lakshitsolanki@yahoo.com,1971-12-05,2320260635.0
YDS5XC3E0C,Mohanlal Goyal,mohanlalgoyal@hotmail.com,1995-10-23,1396783988.0
AB4ANZ6G75,Vardaniya Contractor,vardaniya.contractor@hotmail.com,1968-07-27,1157033491.0
AWVATWP59G,Shayak Krishna,shayak_krishna@yahoo.com,1983-07-11,1531277808.0
KXGA8SKWE8,Divyansh Gole,divyansh.gole@hotmail.com,1977-01-31,1978597465.0
OQ9B2EXIDK,Divyansh Bansal,divyansh.bansal@hotmail.com,1971-12-15,5329689330.0
TEJYJOBYU0,Devansh Chandra,devansh_chandra@gmail.com,1983-01-08,1689376837.0
UDO9383QJE,Jhanvi Dada,jhanvi_dada@yahoo.com,1995-12-06,5344324005.0
3OLCZ44QRO,Amani Bhalla,amanibhalla@hotmail.com,2002-09-05,5521983723.0
SQFIGG8YCD,Bhavin Iyengar,bhavin.iyengar@gmail.com,1994-03-05,9088617007.0
I21IUMPDF1,Hansh Bora,hansh.bora@yahoo.com,1997-08-29,3273037537.0
KSTCDNRYGF,Keya Cheema,keya.cheema@outlook.com,2003-08-28,8573165055.0
9O7IBO2QF1,Adah Kala,adah_kala@hotmail.com,1991-06-15,7915523498.0
EK7ID36HSW,Kiara Desai,kiaradesai@hotmail.com,1973-02-21,8315580574.0
A3V6947CM2,Mehul Tiwari,mehul.tiwari@gmail.com,1990-12-07,678598830.0
JUMVL6CNGJ,Lakshay Garg,lakshay.garg@hotmail.com,1971-10-22,3062186262.0
JTJGYY3G1V,Ishaan Saini,ishaan.saini@outlook.com,1981-07-15,6434847137.0
SWIQKJBXG3,Jayesh Acharya,jayesh_acharya@gmail.com,2002-06-26,1463436718.0
3O4E8R56ZY,Anay Kant,anay_kant@hotmail.com,1995-12-13,6750592250.0
62KEF2L6A7,Dhanush Hans,dhanush.hans@outlook.com,1985-01-30,2307078648.0
70I2OKRKVT,Lakshay Grewal,lakshay_grewal@hotmail.com,1974-05-13,5067398352.0
3G9BQWXW9T,Mohanlal Kala,mohanlal_kala@yahoo.com,1993-09-03,6001281746.0
EBADE46TWC,Vanya Master,vanya.master@outlook.com,1993-07-06,5072190000.0
BFMG80UXBU,Romil Vala,romil_vala@yahoo.com,1997-01-05,6761604421.0
5JKCGF3355,Anya Agate,anyaagate@yahoo.com,1986-04-28,9482302949.0
NGWTZJBA6L,Vedika Chandran,vedikachandran@yahoo.com,1972-07-15,9112455833.0
0SG7NNSF4X,Tejas Varma,tejas.varma@hotmail.com,2001-09-23,2615595802.0
2PWD36CYIN,Mishti Jaggi,mishtijaggi@outlook.com,2001-06-26,7012706055.0
UOG3N8126X,Emir Kant,emirkant@hotmail.com,1976-12-11,533744330.0
HIJ689V14I,Manjari Walia,manjari.walia@hotmail.com,1970-06-23,8066888646.0
TL34PNHBMJ,Indranil Srinivasan,indranilsrinivasan@hotmail.com,1971-02-08,9529414087.0
WUQ9TQNUUY,Heer Talwar,heer_talwar@yahoo.com,2002-02-26,7851659806.0
IUM9BQSTDG,Riya Sundaram,riyasundaram@gmail.com,1995-02-10,7157596771.0
TW6CKHYU0D,Kartik Dixit,kartik.dixit@hotmail.com,1999-09-01,9154878577.0
SCWTGMGSVA,Mahika Babu,mahika.babu@hotmail.com,1981-09-30,6792491878.0
NPEC809HZL,Raghav Chada,raghav_chada@yahoo.com,1996-04-06,7469443810.0
F2TJTJKFR4,Nakul Dalal,nakul_dalal@hotmail.com,1987-06-27,1521123834.0
BRNQAB0WL7,Rohan Boase,rohan_boase@outlook.com,2004-01-31,8633455246.0
QORGNB0CZO,Prisha Chokshi,prisha_chokshi@hotmail.com,2002-10-03,4274946265.0
0V5T0VU6A2,Aarav Keer,aaravkeer@hotmail.com,1979-12-21,6122677444.0
VOTBDILZFU,Madhav Raj,madhav_raj@gmail.com,1991-03-10,3200036246.0
R3UCAFEO7N,Shalv Aurora,shalvaurora@gmail.com,1996-02-27,9612671632.0
HCV210D3CL,Dhruv Anne,dhruv_anne@hotmail.com,1990-11-20,5936431593.0
5ZKGM5HIK7,Madhav Shenoy,madhav.shenoy@yahoo.com,1972-01-12,5426804620.0
N47CIMKPD5,Raghav Trivedi,raghavtrivedi@gmail.com,2002-04-08,6921932320.0
AXIA5FUDN7,Seher Sethi,seher_sethi@yahoo.com,1994-01-23,1798194700.0
F8UQENH1M4,Navya Chandra,navyachandra@gmail.com,1987-01-03,6959812537.0
NL1S07K2NJ,Navya Banerjee,navyabanerjee@yahoo.com,1972-12-10,3033055779.0
OY20GP1F66,Alia Chowdhury,alia_chowdhury@yahoo.com,1993-11-21,1335299364.0
CAMVCR4J4H,Samarth Gulati,samarthgulati@gmail.com,1968-12-29,4636686318.0
E2RCNHV08D,Shamik Sagar,shamik_sagar@gmail.com,1982-07-06,4402029231.0
BOPR06U2YW,Prerak Saxena,preraksaxena@yahoo.com,2002-07-26,6919786742.0
WNXSJ8WGG8,Tejas Goyal,tejasgoyal@yahoo.com,1974-10-20,308955676.0
HADEDX2DAZ,Drishya Salvi,drishya.salvi@gmail.com,1999-02-01,5529006175.0
YE3VPVKI6T,Rasha Golla,rasha.golla@gmail.com,1997-08-22,1308330958.0
SMVXI9QX8H,Vanya Bhakta,vanyabhakta@yahoo.com,1966-05-31,3997730724.0
BABOKTBKF1,Mohanlal Ahluwalia,mohanlal.ahluwalia@gmail.com,1990-07-16,8232881893.0
AWE37OBW73,Indrajit Shan,indrajitshan@hotmail.com,1975-07-29,5214317063.0
SMY91MBBFD,Umang Grover,umang_grover@yahoo.com,1993-07-30,907487623.0
4OHK8VL31F,Adira Bala,adirabala@yahoo.com,1987-03-23,5941189163.0
U1REUT2HBJ,Neelofar Mahajan,neelofar_mahajan@hotmail.com,2003-06-02,1176804482.0
V4K7AWCQJB,Yasmin Joshi,yasmin_joshi@outlook.com,2004-07-27,100526854.0
SKFFAD2TG0,Ritvik Venkataraman,ritvik_venkataraman@yahoo.com,1978-01-18,6400185477.0
4JHV0RV581,Adah Sarraf,adah_sarraf@gmail.com,1988-09-12,481092457.0
R87V2BKQPX,Shalv Bhardwaj,shalvbhardwaj@hotmail.com,1966-09-29,4030243924.0
31I7MOSWJU,Manikya Sagar,manikyasagar@outlook.com,1991-12-02,1578655.0
Z4YCX0RKNB,Heer Ghose,heerghose@hotmail.com,1997-12-17,2235002395.0
TSMTPQUYMC,Jayesh Khurana,jayeshkhurana@yahoo.com,1972-10-05,1848374865.0
ZSX2DC9QXQ,Riaan Das,riaandas@gmail.com,1976-01-22,4412160495.0
AWGZ5BZIOG,Dhanuk Baral,dhanuk.baral@yahoo.com,1999-08-03,6090315840.0
QXHNGF19ZW,Mehul Biswas,mehul.biswas@hotmail.com,1967-12-20,167217586.0
R89VF4TCKT,Alia Raman,alia_raman@gmail.com,1980-10-15,9720853392.0
PMT95VMMWQ,Parinaaz Sagar,parinaaz.sagar@gmail.com,1988-04-02,863887791.0
BXEK9Z59C0,Divij Sama,divij.sama@hotmail.com,1991-11-10,8273257191.0
2PEEODDR4W,Fateh Ahuja,fateh.ahuja@yahoo.com,1991-04-20,5469315276.0
ELGWPKREDA,Nirvaan D’Alia,nirvaan_d’alia@gmail.com,1984-11-06,89081188.0
9R9B9FCHSI,Ivana Roy,ivana_roy@hotmail.com,2001-01-30,6364306327.0
DXDQH4HDSL,Tiya Batra,tiya_batra@outlook.com,1978-01-18,8010158908.0
